TalkId|TalkerName|TalkContent
470001|洛佩|你们该走了。就像竹子坚毅得顶立着狂雹一样，我在这里顶着，一定要将他们驱赶出去。我委托你们保护好符咒，他们能保护你不受极恶的伤害
470002|凯尔希|"无论谁想对罗德岛出手，都要考虑一下，是否要现在向他们的对手发出一个信号: ""我想要夺取关键的证据，塔露拉"""
470003|苏轼|惟江上之清风，与山间之明月，耳得之而为声，目遇之而成色
470004|霜星|怀疑自己是最好的。只有这样，你才不会因为笃信着什么东西而一意孤行下去
470005|苏轼|桂棹兮兰桨，击空明兮溯流光。渺渺兮予怀，望美人兮天一方
470006|刘过|欲买桂花同载酒，终不似，少年游
470007|教员|存地失人，则人地皆失，存人失地，则人地皆存
470008|诺曼底登陆前夕盟军向法国抵抗组织|漫漫秋日，如提琴长叹，我心暗伤，于北方之地，交杯共饮
470009|菲律宾军政部(第14军)|欲咒人者，续掘二穴
470010|论语·为政|攻乎异端，斯害也已
470011|宁静之祷|上帝啊，请赐我宁静，让我接受那些自己无法改变的事情; 请赐我勇气，让我改变那那些自己可以改变的事情; 请赐我智慧，让我分辨两者的区别
470012|罗曼·罗兰|我愿把我所有的爱情、思想、信仰，都倾注在我所钟爱的事业上。
||
